round_epochs,loss,accuracy,val_loss,val_accuracy,units1,units2,units3,dropout,lr,batch_size,epochs
50,0.6984941363334656,0.5403050184249878,0.705556333065033,0.5380710363388062,64,32,16,0.2,0.001,16,50
100,0.7596631050109863,0.48148149251937866,0.7130500078201294,0.49238577485084534,64,32,16,0.2,0.001,16,100
50,0.6868613958358765,0.5599128603935242,0.6622077226638794,0.710659921169281,64,32,16,0.2,0.001,32,50
100,0.6902551054954529,0.5228758454322815,0.6799469590187073,0.5482233762741089,64,32,16,0.2,0.001,32,100
50,0.7394405007362366,0.5403050184249878,0.7256675958633423,0.5076141953468323,64,32,16,0.2,0.0005,16,50
100,0.7281246185302734,0.429193913936615,0.7034452557563782,0.4467005133628845,64,32,16,0.2,0.0005,16,100
50,0.7171123027801514,0.4466230869293213,0.7090264558792114,0.4010152220726013,64,32,16,0.2,0.0005,32,50
100,0.7191656231880188,0.5206971764564514,0.7120497822761536,0.5076141953468323,64,32,16,0.2,0.0005,32,100
50,0.7483100891113281,0.429193913936615,0.7483760714530945,0.3857868015766144,64,32,16,0.3,0.001,16,50
100,0.7395527362823486,0.5206971764564514,0.7031415104866028,0.5329949259757996,64,32,16,0.3,0.001,16,100
50,0.7189605832099915,0.46623092889785767,0.7059796452522278,0.4517766535282135,64,32,16,0.3,0.001,32,50
100,0.7035532593727112,0.5642701387405396,0.7069387435913086,0.5482233762741089,64,32,16,0.3,0.001,32,100
50,0.7031807899475098,0.5337690711021423,0.6812617182731628,0.5279187560081482,64,32,16,0.3,0.0005,16,50
100,0.8639300465583801,0.48583877086639404,0.7924941182136536,0.49238577485084534,64,32,16,0.3,0.0005,16,100
50,0.7161370515823364,0.5511982440948486,0.7207555770874023,0.5431472063064575,64,32,16,0.3,0.0005,32,50
100,0.6962540149688721,0.5403050184249878,0.6946309804916382,0.5228426456451416,64,32,16,0.3,0.0005,32,100
50,0.6907697319984436,0.516339898109436,0.6747501492500305,0.5634517669677734,64,32,32,0.2,0.001,16,50
100,0.679307222366333,0.586056649684906,0.6755963563919067,0.6040608882904053,64,32,32,0.2,0.001,16,100
50,0.7440983653068542,0.514161229133606,0.7353187203407288,0.5025380849838257,64,32,32,0.2,0.001,32,50
100,0.6956211924552917,0.4945533871650696,0.6820825338363647,0.5685279369354248,64,32,32,0.2,0.001,32,100
50,0.7091825604438782,0.5228758454322815,0.7157009243965149,0.5076141953468323,64,32,32,0.2,0.0005,16,50
100,0.6917492151260376,0.5381263494491577,0.681708574295044,0.5025380849838257,64,32,32,0.2,0.0005,16,100
50,0.7834920883178711,0.34422656893730164,0.7681489586830139,0.27411168813705444,64,32,32,0.2,0.0005,32,50
100,0.6967236995697021,0.501089334487915,0.6847966909408569,0.5939086079597473,64,32,32,0.2,0.0005,32,100
50,0.7610795497894287,0.44880175590515137,0.7648571133613586,0.39593908190727234,64,32,32,0.3,0.001,16,50
100,0.6895166635513306,0.5337690711021423,0.6840359568595886,0.5786802172660828,64,32,32,0.3,0.001,16,100
50,0.7029748558998108,0.5272331237792969,0.7153218984603882,0.4314720928668976,64,32,32,0.3,0.001,32,50
100,0.7076307535171509,0.46623092889785767,0.7009752988815308,0.42131978273391724,64,32,32,0.3,0.001,32,100
50,0.7132784724235535,0.48366013169288635,0.6949193477630615,0.4568527936935425,64,32,32,0.3,0.0005,16,50
100,0.6863495707511902,0.5468409657478333,0.6857247352600098,0.5177664756774902,64,32,32,0.3,0.0005,16,100
50,0.7621173858642578,0.46405228972435,0.7305548787117004,0.48730963468551636,64,32,32,0.3,0.0005,32,50
100,0.6679895520210266,0.586056649684906,0.6686674952507019,0.5837563276290894,64,32,32,0.3,0.0005,32,100
50,0.6908202767372131,0.529411792755127,0.681957483291626,0.5939086079597473,64,64,16,0.2,0.001,16,50
100,0.7237035632133484,0.4553377032279968,0.7179973125457764,0.46192893385887146,64,64,16,0.2,0.001,16,100
50,0.7008466720581055,0.5315904021263123,0.6922339200973511,0.5126903653144836,64,64,16,0.2,0.001,32,50
100,0.7186821699142456,0.5054466128349304,0.719352126121521,0.5126903653144836,64,64,16,0.2,0.001,32,100
50,0.730318546295166,0.48148149251937866,0.7381136417388916,0.43654823303222656,64,64,16,0.2,0.0005,16,50
100,0.7320740818977356,0.47058823704719543,0.7340564727783203,0.41624364256858826,64,64,16,0.2,0.0005,16,100
50,0.7185174226760864,0.4248366057872772,0.7271322011947632,0.34517765045166016,64,64,16,0.2,0.0005,32,50
100,0.7090376019477844,0.48148149251937866,0.6943384408950806,0.5279187560081482,64,64,16,0.2,0.0005,32,100
50,0.7075735330581665,0.48366013169288635,0.6981935501098633,0.4974619150161743,64,64,16,0.3,0.001,16,50
100,0.7051951289176941,0.5533769130706787,0.7133085131645203,0.5126903653144836,64,64,16,0.3,0.001,16,100
50,0.6967317461967468,0.5119825601577759,0.6873603463172913,0.5431472063064575,64,64,16,0.3,0.001,32,50
100,0.7051015496253967,0.5272331237792969,0.6839439272880554,0.5939086079597473,64,64,16,0.3,0.001,32,100
50,0.6936651468276978,0.5424836874008179,0.7099670767784119,0.42131978273391724,64,64,16,0.3,0.0005,16,50
100,0.7115476131439209,0.514161229133606,0.6841269731521606,0.5177664756774902,64,64,16,0.3,0.0005,16,100
50,0.7540915608406067,0.5185185074806213,0.730185866355896,0.5431472063064575,64,64,16,0.3,0.0005,32,50
100,0.7001706957817078,0.4749455451965332,0.6988162994384766,0.4720812141895294,64,64,16,0.3,0.0005,32,100
50,0.670836329460144,0.514161229133606,0.6615085005760193,0.5329949259757996,64,64,32,0.2,0.001,16,50
100,0.6877917647361755,0.5446622967720032,0.6866635680198669,0.5380710363388062,64,64,32,0.2,0.001,16,100
