round_epochs,loss,accuracy,val_loss,val_accuracy,units1,units2,units3,dropout,lr,batch_size,epochs
50,0.8137185573577881,0.46623092889785767,0.7603362202644348,0.5279187560081482,64,32,16,0.2,0.001,16,50
100,0.6612123847007751,0.6230936646461487,0.6676294207572937,0.6395938992500305,64,32,16,0.2,0.001,16,100
50,0.7329385280609131,0.4444444477558136,0.7446236610412598,0.43654823303222656,64,32,16,0.2,0.001,32,50
100,0.7202516794204712,0.4466230869293213,0.7160147428512573,0.4010152220726013,64,32,16,0.2,0.001,32,100
50,0.6953980922698975,0.5490196347236633,0.6744280457496643,0.5736040472984314,64,32,16,0.2,0.0005,16,50
100,0.667937159538269,0.5882353186607361,0.6796582341194153,0.5076141953468323,64,32,16,0.2,0.0005,16,100
50,0.6869160532951355,0.5446622967720032,0.6705994009971619,0.6345177888870239,64,32,16,0.2,0.0005,32,50
100,0.697482168674469,0.4793028235435486,0.6725015640258789,0.5786802172660828,64,32,16,0.2,0.0005,32,100
50,0.759814441204071,0.3921568691730499,0.7285945415496826,0.39593908190727234,64,32,16,0.3,0.001,16,50
100,0.7043763995170593,0.4923747181892395,0.6814017295837402,0.5736040472984314,64,32,16,0.3,0.001,16,100
50,0.690240204334259,0.5337690711021423,0.672966718673706,0.624365508556366,64,32,16,0.3,0.001,32,50
100,0.6883270740509033,0.5577341914176941,0.6555641293525696,0.5939086079597473,64,32,16,0.3,0.001,32,100
50,0.7132437825202942,0.48583877086639404,0.6968371272087097,0.5076141953468323,64,32,16,0.3,0.0005,16,50
100,0.677310585975647,0.5751634240150452,0.6593157052993774,0.6142131686210632,64,32,16,0.3,0.0005,16,100
50,0.8338714241981506,0.5119825601577759,0.8427266478538513,0.46192893385887146,64,32,16,0.3,0.0005,32,50
100,0.7323775291442871,0.5054466128349304,0.7425055503845215,0.46700507402420044,64,32,16,0.3,0.0005,32,100
50,0.6851587295532227,0.5686274766921997,0.6692624688148499,0.5685279369354248,64,32,32,0.2,0.001,16,50
100,0.6913784146308899,0.5272331237792969,0.6947600841522217,0.5177664756774902,64,32,32,0.2,0.001,16,100
50,0.7393082976341248,0.4793028235435486,0.6970124840736389,0.5228426456451416,64,32,32,0.2,0.001,32,50
100,0.6721294522285461,0.5838779807090759,0.6852737069129944,0.5634517669677734,64,32,32,0.2,0.001,32,100
50,0.6942381262779236,0.516339898109436,0.6818625926971436,0.5177664756774902,64,32,32,0.2,0.0005,16,50
100,0.6665678024291992,0.5773420333862305,0.672309935092926,0.5583756566047668,64,32,32,0.2,0.0005,16,100
50,0.7277147769927979,0.40522876381874084,0.7144941091537476,0.4771573543548584,64,32,32,0.2,0.0005,32,50
100,0.7201144695281982,0.4880174398422241,0.7010377049446106,0.49238577485084534,64,32,32,0.2,0.0005,32,100
50,0.6984568238258362,0.5620915293693542,0.6875972747802734,0.5837563276290894,64,32,32,0.3,0.001,16,50
100,0.7227771878242493,0.4553377032279968,0.6850904822349548,0.5076141953468323,64,32,32,0.3,0.001,16,100
50,0.705784261226654,0.49673202633857727,0.6958842873573303,0.4771573543548584,64,32,32,0.3,0.001,32,50
100,0.7342383861541748,0.46405228972435,0.6639734506607056,0.5532994866371155,64,32,32,0.3,0.001,32,100
50,0.6807520389556885,0.5642701387405396,0.6704937219619751,0.5786802172660828,64,32,32,0.3,0.0005,16,50
100,0.7176368832588196,0.4880174398422241,0.7014976739883423,0.5228426456451416,64,32,32,0.3,0.0005,16,100
50,0.7313549518585205,0.4749455451965332,0.7143952250480652,0.4467005133628845,64,32,32,0.3,0.0005,32,50
