round_epochs,loss,accuracy,val_loss,val_accuracy,units1,units2,units3,dropout,lr,batch_size,epochs
50,0.7689520716667175,0.46840959787368774,0.7682479023933411,0.41624364256858826,64,32,16,0.2,0.001,16,50
100,0.6835591793060303,0.5446622967720032,0.6825781464576721,0.4974619150161743,64,32,16,0.2,0.001,16,100
50,0.7042557001113892,0.5032680034637451,0.6952791213989258,0.5279187560081482,64,32,16,0.2,0.001,32,50
100,0.6841942667961121,0.5206971764564514,0.6770474910736084,0.5888324975967407,64,32,16,0.2,0.001,32,100
50,0.722133219242096,0.5228758454322815,0.711141049861908,0.5431472063064575,64,32,16,0.2,0.0005,16,50
100,0.7228600978851318,0.501089334487915,0.6934353113174438,0.5634517669677734,64,32,16,0.2,0.0005,16,100
50,0.7496209144592285,0.379084974527359,0.7268640995025635,0.3756345212459564,64,32,16,0.2,0.0005,32,50
100,0.7447231411933899,0.42047929763793945,0.7251474857330322,0.46700507402420044,64,32,16,0.2,0.0005,32,100
50,0.726791501045227,0.4596949815750122,0.7042021751403809,0.41624364256858826,64,32,16,0.3,0.001,16,50
100,0.7072798609733582,0.516339898109436,0.6975760459899902,0.5329949259757996,64,32,16,0.3,0.001,16,100
50,0.7149855494499207,0.4901960790157318,0.6997775435447693,0.5076141953468323,64,32,16,0.3,0.001,32,50
100,0.6797753572463989,0.5795207023620605,0.6851662397384644,0.6040608882904053,64,32,16,0.3,0.001,32,100
50,0.6151226162910461,0.6906318068504333,0.5958331227302551,0.6751269102096558,64,32,16,0.3,0.0005,16,50
100,0.7558439373970032,0.47058823704719543,0.7257511615753174,0.5228426456451416,64,32,16,0.3,0.0005,16,100
50,0.6234399080276489,0.6840958595275879,0.6318884491920471,0.700507640838623,64,32,16,0.3,0.0005,32,50
100,0.7286866307258606,0.43572986125946045,0.723992645740509,0.36548224091529846,64,32,16,0.3,0.0005,32,100
50,0.6915337443351746,0.48583877086639404,0.6645719408988953,0.6192893385887146,64,32,32,0.2,0.001,16,50
100,0.6574575901031494,0.5751634240150452,0.6306334733963013,0.6700507402420044,64,32,32,0.2,0.001,16,100
50,0.7049439549446106,0.48366013169288635,0.6896920204162598,0.5431472063064575,64,32,32,0.2,0.001,32,50
100,0.6748451590538025,0.5686274766921997,0.6740500330924988,0.5279187560081482,64,32,32,0.2,0.001,32,100
